CatAqft,T,2,1,0,
CatAqft,T,2,2,0,
CatAqft,T,2,3,0,
CatAqft,T,2,4,0,
CatAqft,T,2,5,0,
CatAqft,T,2,6,0,
CatAqft,T,2,7,0,
CatAqft,T,2,8,0,
CatAqft,T,2,9,0,
CatAqft,T,2,10,0,
CatAqft,T,3,1,0,
CatAqft,T,3,2,0,
CatAqft,T,3,3,0,
CatAqft,T,3,4,0,
CatAqft,T,3,5,0,
CatAqft,T,3,6,0,
CatAqft,T,3,7,0,
CatAqft,T,3,8,0,
CatAqft,T,3,9,0,
CatAqft,T,3,10,0,
CatAqft,T,4,1,114,4
CatAqft,T,4,2,134,4
CatAqft,T,4,3,168,4
CatAqft,T,4,4,188,4
CatAqft,T,4,5,210,4
CatAqft,T,4,6,232,4
CatAqft,T,4,7,254,4
CatAqft,T,4,8,278,4
CatAqft,T,4,9,306,4
CatAqft,T,4,10,322,4
CatAqft,T,5,1,196,5
CatAqft,T,5,2,238,5
CatAqft,T,5,3,276,5
CatAqft,T,5,4,312,5
CatAqft,T,5,5,342,5
CatAqft,T,5,6,378,5
CatAqft,T,5,7,412,5
CatAqft,T,5,8,444,5
CatAqft,T,5,9,472,5
CatAqft,T,5,10,506,5
CatAqft,T,6,1,312,6
CatAqft,T,6,2,350,6
CatAqft,T,6,3,394,6
CatAqft,T,6,4,444,6
CatAqft,T,6,5,490,6
CatAqft,T,6,6,530,6
CatAqft,T,6,7,580,6
CatAqft,T,6,8,614,6
CatAqft,T,6,9,660,6
CatAqft,T,6,10,704,6
CatAqft,T,7,1,400,6
CatAqft,T,7,2,490,7
CatAqft,T,7,3,550,7
CatAqft,T,7,4,604,7
CatAqft,T,7,5,656,7
CatAqft,T,7,6,700,7
CatAqft,T,7,7,762,7
CatAqft,T,7,8,820,7
CatAqft,T,7,9,860,7
CatAqft,T,7,10,918,7
CatAqft,T,8,1,544,7
CatAqft,T,8,2,638,8
CatAqft,T,8,3,704,8
CatAqft,T,8,4,772,8
CatAqft,T,8,5,832,8
CatAqft,T,8,6,902,8
CatAqft,T,8,7,966,8
CatAqft,T,8,8,1028,8
CatAqft,T,8,9,1086,8
CatAqft,T,8,10,1148,8
CatAqft,T,9,1,652,7
CatAqft,T,9,2,822,9
CatAqft,T,9,3,890,9
CatAqft,T,9,4,952,9
CatAqft,T,9,5,1030,9
CatAqft,T,9,6,1112,9
CatAqft,T,9,7,1190,9
CatAqft,T,9,8,1260,9
CatAqft,T,9,9,1332,9
CatAqft,T,9,10,1394,9
CatAqft,T,10,1,822,8
CatAqft,T,10,2,978,9
CatAqft,T,10,3,1080,10
CatAqft,T,10,4,1160,10
CatAqft,T,10,5,1246,10
CatAqft,T,10,6,1346,10
CatAqft,T,10,7,1422,10
CatAqft,T,10,8,1510,10
CatAqft,T,10,9,1590,10
CatAqft,T,10,10,1670,10
CatAqft,T,11,1,942,8
CatAqft,T,11,2,1168,10
CatAqft,T,11,3,1296,11
CatAqft,T,11,4,1390,11
CatAqft,T,11,5,1474,11
CatAqft,T,11,6,1590,11
CatAqft,T,11,7,1686,11
CatAqft,T,11,8,1772,11
CatAqft,T,11,9,1854,11
CatAqft,T,11,10,1948,11
CatAqft,T,12,1,1086,8
CatAqft,T,12,2,1352,10
CatAqft,T,12,3,1534,12
CatAqft,T,12,4,1634,12
CatAqft,T,12,5,1724,12
CatAqft,T,12,6,1848,12
CatAqft,T,12,7,1954,12
CatAqft,T,12,8,2052,12
CatAqft,T,12,9,2158,12
CatAqft,T,12,10,2262,12
CatAqft,T,13,1,1284,9
CatAqft,T,13,2,1554,11
CatAqft,T,13,3,1772,12
CatAqft,T,13,4,1900,13
CatAqft,T,13,5,2004,13
CatAqft,T,13,6,2120,13
CatAqft,T,13,7,2236,13
CatAqft,T,13,8,2346,13
CatAqft,T,13,9,2468,13
CatAqft,T,13,10,2584,13
CatAqft,T,14,1,1430,9
CatAqft,T,14,2,1742,11
CatAqft,T,14,3,2004,13
CatAqft,T,14,4,2182,14
CatAqft,T,14,5,2284,14
CatAqft,T,14,6,2416,14
CatAqft,T,14,7,2540,14
CatAqft,T,14,8,2664,14
CatAqft,T,14,9,2794,14
CatAqft,T,14,10,2914,14
CatAqft,T,15,1,1562,9
CatAqft,T,15,2,1990,11
CatAqft,T,15,3,2272,14
CatAqft,T,15,4,2468,15
CatAqft,T,15,5,2588,15
CatAqft,T,15,6,2722,15
CatAqft,T,15,7,2862,15
CatAqft,T,15,8,3002,15
CatAqft,T,15,9,3136,15
CatAqft,T,15,10,3268,15
CatAqft,T,16,1,1726,9
CatAqft,T,16,2,2176,12
CatAqft,T,16,3,2504,14
CatAqft,T,16,4,2774,16
CatAqft,T,16,5,2902,16
CatAqft,T,16,6,3054,16
CatAqft,T,16,7,3206,16
CatAqft,T,16,8,3348,16
CatAqft,T,16,9,3486,16
CatAqft,T,16,10,3636,16
CatAqft,T,17,1,1868,9
CatAqft,T,17,2,2382,12
CatAqft,T,17,3,2786,14
CatAqft,T,17,4,3060,16
CatAqft,T,17,5,3246,17
CatAqft,T,17,6,3396,17
CatAqft,T,17,7,3564,17
CatAqft,T,17,8,3708,17
CatAqft,T,17,9,3864,17
CatAqft,T,17,10,4028,17
CatAqft,T,18,1,2062,9
CatAqft,T,18,2,2590,12
CatAqft,T,18,3,3044,15
CatAqft,T,18,4,3382,17
CatAqft,T,18,5,3614,18
CatAqft,T,18,6,3754,18
CatAqft,T,18,7,3928,18
CatAqft,T,18,8,4084,18
CatAqft,T,18,9,4250,18
CatAqft,T,18,10,4428,18
CatAqft,T,19,1,2270,10
CatAqft,T,19,2,2808,12
CatAqft,T,19,3,3292,15
CatAqft,T,19,4,3678,17
CatAqft,T,19,5,3986,19
CatAqft,T,19,6,4136,19
CatAqft,T,19,7,4330,19
CatAqft,T,19,8,4494,19
CatAqft,T,19,9,4656,19
CatAqft,T,19,10,4842,19
CatAqft,T,20,1,2440,10
CatAqft,T,20,2,3082,13
CatAqft,T,20,3,3578,15
CatAqft,T,20,4,4030,18
CatAqft,T,20,5,4352,19
CatAqft,T,20,6,4540,20
CatAqft,T,20,7,4730,20
CatAqft,T,20,8,4900,20
CatAqft,T,20,9,5080,20
CatAqft,T,20,10,5286,20
Aqft,T,2,1,0,
Aqft,T,2,2,0,
Aqft,T,2,3,0,
Aqft,T,2,4,0,
Aqft,T,2,5,0,
Aqft,T,2,6,0,
Aqft,T,2,7,0,
Aqft,T,2,8,0,
Aqft,T,2,9,0,
Aqft,T,2,10,0,
Aqft,T,3,1,0,
Aqft,T,3,2,0,
Aqft,T,3,3,0,
Aqft,T,3,4,0,
Aqft,T,3,5,0,
Aqft,T,3,6,0,
Aqft,T,3,7,0,
Aqft,T,3,8,0,
Aqft,T,3,9,0,
Aqft,T,3,10,0,
Aqft,T,4,1,43,4
Aqft,T,4,2,53,4
Aqft,T,4,3,67,4
Aqft,T,4,4,75,4
Aqft,T,4,5,85,4
Aqft,T,4,6,91,4
Aqft,T,4,7,105,4
Aqft,T,4,8,115,4
Aqft,T,4,9,125,4
Aqft,T,4,10,133,4
Aqft,T,5,1,105,5
Aqft,T,5,2,133,5
Aqft,T,5,3,169,5
Aqft,T,5,4,201,5
Aqft,T,5,5,231,5
Aqft,T,5,6,257,5
Aqft,T,5,7,293,5
Aqft,T,5,8,321,5
Aqft,T,5,9,341,5
Aqft,T,5,10,381,5
Aqft,T,6,1,203,6
Aqft,T,6,2,255,6
Aqft,T,6,3,317,6
Aqft,T,6,4,385,6
Aqft,T,6,5,443,6
Aqft,T,6,6,505,6
Aqft,T,6,7,577,6
Aqft,T,6,8,619,6
Aqft,T,6,9,685,6
Aqft,T,6,10,735,6
Aqft,T,7,1,311,6
Aqft,T,7,2,427,7
Aqft,T,7,3,517,7
Aqft,T,7,4,645,7
Aqft,T,7,5,735,7
Aqft,T,7,6,831,7
Aqft,T,7,7,945,7
Aqft,T,7,8,1057,7
Aqft,T,7,9,1133,7
Aqft,T,7,10,1241,7
Aqft,T,8,1,495,7
Aqft,T,8,2,635,8
Aqft,T,8,3,807,8
Aqft,T,8,4,965,8
Aqft,T,8,5,1115,8
Aqft,T,8,6,1277,8
Aqft,T,8,7,1415,8
Aqft,T,8,8,1573,8
Aqft,T,8,9,1699,8
Aqft,T,8,10,1847,8
Aqft,T,9,1,651,7
Aqft,T,9,2,967,9
Aqft,T,9,3,1155,9
Aqft,T,9,4,1345,9
